Name,Distance_to_Past_Winner,AGE,Draft Pick,YEARS,G,GS,MPG,PTS,AST,RB,BLK,STL,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,AST/TO,PF,SOS,NAT_CH,AGE_was_nan,Draft Pick_was_nan,YEARS_was_nan,G_was_nan,GS_was_nan,MPG_was_nan,PTS_was_nan,AST_was_nan,RB_was_nan,BLK_was_nan,STL_was_nan,FG_was_nan,FGA_was_nan,FG%_was_nan,3P_was_nan,3PA_was_nan,3P%_was_nan,FT_was_nan,FTA_was_nan,FT%_was_nan,TOV_was_nan,AST/TO_was_nan,PF_was_nan,SOS_was_nan,NAT_CH_was_nan
Juan Núñez,37.65,20,36,4,59,62.15,15.6,5.4,3.3,2.3,0.0,0.9,2.0,4.5,0.444,0.5,1.4,0.354,0.9,1.5,0.567,2.0,1.65,1.3,6.46,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Nikola Topi?,38.33,18,12,3,28,62.15,21.0,10.2,4.1,2.3,0.1,0.6,3.7,7.4,0.495,0.6,2.6,0.247,2.2,2.5,0.871,2.0,2.05,2.5,6.46,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Adem Bona,38.7,21,41,2,66,65.0,24.7,10.1,1.0,5.6,1.7,0.8,3.9,6.3,0.621,0.0,0.0,0.0,2.3,3.5,0.652,1.9,0.53,3.5,8.25,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ja'Kobe Walter,39.94,19,19,1,35,35.0,32.3,14.5,1.4,4.4,0.2,1.1,4.1,10.9,0.376,2.1,6.3,0.341,4.1,5.2,0.792,1.3,1.08,2.1,10.71,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nikola ?urii?,39.99,20,43,4,69,62.15,25.9,11.5,3.0,2.6,0.2,0.9,3.9,9.1,0.427,0.9,2.9,0.305,2.8,3.8,0.731,2.7,1.11,2.6,6.46,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Stephon Castle,41.06,19,4,1,34,30.0,27.0,11.1,2.9,4.7,0.5,0.8,4.0,8.5,0.472,0.6,2.2,0.267,2.4,3.2,0.755,1.5,1.93,2.4,8.7,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bub Carrington,41.07,18,14,1,33,33.0,33.2,13.8,4.1,5.2,0.2,0.6,4.8,11.7,0.412,2.0,6.1,0.322,2.2,2.8,0.785,1.9,2.16,2.4,6.92,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre Sarr,42.33,19,2,1,24,62.15,17.2,9.7,0.9,4.4,1.3,0.5,3.7,7.1,0.52,0.6,2.0,0.298,1.7,2.3,0.714,1.1,0.82,1.4,6.46,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Yves Missi,43.89,20,21,1,34,32.0,22.9,10.7,0.4,5.6,1.5,0.6,4.1,6.7,0.614,0.0,0.0,0.32,2.5,4.1,0.616,1.1,0.36,2.4,10.71,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dalton Knecht,47.36,23,17,5,103,79.0,29.8,16.9,1.5,5.2,0.6,0.7,5.9,12.7,0.461,2.1,5.5,0.383,3.1,4.0,0.768,1.7,0.88,1.6,2.03,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
